idx,class,conversation_ri
3441,갈취 대화,제발 영상 좀 지워줘 노년 혼자 찍은거 아니잖아. 너가 동의했잖아 니가 그런식으로 이용할 줄 몰랐다고 나쁜 놈아 원래 혼자 볼려고 했는데 이런거 올리는 곳이 있더라고. 돈벌이가 된다길래 뭐 너도 나오는 영상이야. 몰랐구나 내 얼굴은 안 나와. 그럼 니가 돈 줘 내가 지금 돈이 어디있어서. 알아서 마련해야지. 알았으니깐 영상 꼭 지워야해 그럴께
3442,협박 대화,저기요 집 앞에 연꽁초 버리지 마세요 저번에도 쓰레기 봉투에 옮겨 붙어서 불날 뻔했잖아요 아줌마 그래서 뭐가 어쨋다고 불나면 니가 뛰어 나와서 불을 끄세요 다같이 사는 주거지역인데 불나면 위험하죠 모두가 조심하자는 차원에서 말한거예요 오해 없으시면 좋겠네요 니가 나 연 피는데 뭐 보태줬어? 야 너 딱 기다려 내가 올라갈게 저기요 문 그만두드리세요 신고할겁니다 문열어 그럼 그냥좋게 넘어갈게 문열라고 문열어 지금 그렇게 화나셨는데 문을 어떻게 열어요 이상태로도 잘 들리니 이렇게 대화해요 문 안 열면 후회할텐데 내가 뭔 짓 할 줄 알고 문 열기에 너무 무서워요 집에 아이랑 저 밖에 없어서 더 겁나구요 근데 왜 그렇게 까불었어 마침 잘 됐네 애랑 너랑 뜨겁게 죽어봐 남편 오면 아주 신나하겠네 이웃에 문제 안가게 딱 너네집만 태우고 내가 알아서끌게 그러니까 남에 일에 관심 껏어야지
3443,갈취 대화,그 반지 멋진걸? 안돼요 이리 내 어서! 이건 결혼 반지입니다 내놓지 못해? 안돼요 돈을 드릴게요 가진 돈 다 내놔 득 반지 만큼은 안 됩니다 이건 결혼반지란 말이에요 꽤 값나가 보이는데 어서 내놓지 못해? 안돼 제발 돌려주세요
3444,직장 내 괴롭힘 대화,오늘 신규 기적 놈 입사하신 분과 담당 차 할 동물 걸이 다시 재 배분 배정하겠습니다. 서사 이 오늘날 배정 경쟁자 풀 그대로 동안 5년동안 진행하셔야 합니다. 저는. 어디지? 아 대학 나온 호각 똑부러진 학생과 판다 담당하도록 하겠습니다 의의 없으시죠? 그럼 아 학생 길동이고 후각 나왔다고 했지 엄니 ? 화제 네 맞습니다. 과 길동이고 학도 반려동물 환 가랑이 종이 학과 나왔습니다. 그러면 음. 저기 악어 아니면 뱀 우세 생도 담당해라. 너는 저기서 남자 골라. 혹시 다른 하루 학도 동물 티오도 많은 것 백금 같은데 다른곳에 소유 지원은 못합니까? 고 비율 졸 지고 주제에 두 현대 동물 선택권 준 것만으로도 감사합니다. 하면서 구렁이 골라야지 눈치 홍차 가 없어요? 아 저는 자식 서민 다른 분들은 알아서 고르시길래 저도 되는 줄 알았습니다 벌판 남자 . 이래서 내가 고 뒤 졸을 싫어해. 탐심 눈치도 없는데 들판 욕심은 많아 주기 . 정작 잘 하지도 못 해 끝 대사 . 소지품 기적 와 저 비용 두 아카데미 동물 진짜 최고의 연줄 난이도라 아무도 안 비례 끝 아래 생도 맡고 싶어하는데 어떡해. 상관쓰지 장 마세요. 어쩌피 고졸들 인내심 차 도 없어서 2주 하면 그만둬요. 그리고 이야깃거리 사회적으로도 조금이라도 지식인 비례 을 사회에 두고 싶어하지 저런 꼴통 적 들 성기 신경 쓰지도 않아요.
3445,협박 대화,이봐 비켜. 먼저 서있었는데요 아오못 한 대 때리면 날라갈 것 같이 생겨선 네? 비키라고 근데 가제. 한국말 씨 알아들어? 맞기 전에 비켜 그래도. 아니 귀먼저먹었나 말귀를 못 알아듣네 아. 네 먼저아니가세요
3446,협박 대화,성의 저 이거 못먹겠어요 이유가 뭔데? 여기서 제가 아는 독극물 냄새가 나요 야 너랑 나랑 아는 사이 아니야? 그냥 죄송하지만 있게 마셔 그렇게 말하니까 더 수상해요 저 무슨 악감 있다고 안 죄송해요 가그기절 먹여줘 스스로 마실래 니 손으로 자살할래 도대체 이렇게까지 하시는 이유살려주세요정이뭐에요? 첫째는 래야 너가 자살로 인정돼서 내때려서 의심 안받고시켜서둘째 김도진 넌 너무 잘난척하는게 꼴보기한테싫어 가 마셔
3447,기타 괴롭힘 대화,엄마 잘못했어요. 잘못했다면 다니? 내가 너한테 얼마나 쏟아부었는데. 다음부터는 잘할게요. 너무 힘들어서 그래요. 너한테 쏟아부은 돈만 해도 맨션 한채를 사겠다. 너무 힘들어서 그래요. 힘들어? 뭐가? 밥도 줘. 학원도 마음껏 보내줘. 뭐가? 하루 네 시간도 못자고 밥먹을 시간도 없이 공부해서. 얘가 또 배부른 소리하네. 다 니 미래를 위한거야. . 그런 푸념 할꺼면 그 시간에 단어를 하나 더 외워라. 지금 당장 올라가서 오늘 틀린거 다 복습해 네.
3448,직장 내 괴롭힘 대화,황과장 너 일을 하고도버리기월급받지? 뭐가 구로 되었습니까?이따기가막힌다. 거 내아이디어로 기안작성했네 아니 그건 제걸로. 니 대갈통에서 저런잘아이디어도 나오냐? 그게가일주일 전부터 진행한거라서. 일도 못하는 주제에 상사아이디어까지. 니가 그러니까 아직도 그모양.. .제가 한니못.맞. 주둥이 닫으시고요. 제발 니 일이나 잘하세요.짤라 전에 다시이야기안.적어보겠습니다.
3449,갈취 대화,어이 너희 집 어딘지 이제 아는데. 선생님 제발 우리 집에는 오지 마세요. 그럼 내가 얘기한 거 현금 줘야지. 현금 없는데 어떻게 내가 너 은행에서 돈 찾는 거 봤는데. 선생님 제발요. 부인이랑 딸들한테 아는거 다 폭로한다. 제발 안돼요. 드릴게요. 빨리 내놔. 찾아가기 전에. 예. 알겠습니다.
3450,협박 대화,저번에 말했던거 구해왔어? 아니요..그렇지만그렇지만곧 구할게요.되었는지정말입니다. 저번 달에도 똑같은 소리하지 않았나? 그 에 네 자리에 있던 이 어떻게 ? 죄송합니다. 제가아직싶어서 잘하겠습니다. 너도 동해 바다 아니에요 밥이 되기 싫으면 정신 그래 차리고 다녀. 정말 죽고 정말이좀?몰라 요즘 경찰들 사람너무 많이 다녀서. 핑계대는거야? 경찰이 무서워 내가전무서워? 죽고싶어? 물고기. 못 들은 걸로정말해주세요. 구해올게요. 그래 그래야지. .노력하겠습니다. 조금만 더 참아주세요.
3451,협박 대화,니가 그러고도 향내 사람이야? 사람이면 납입 이럴수 천명 있어? 미친새끼 국한 하천 과거 내가 속 사람으로보여? 고초 내가 내돈 안갚으면 너 극한 년 연기 피한방울 살한조각까지 다 팔아버린다고 했어 안했어? 괴로움 덩어리 작년 일단 금니부터 뽑자 아가리 벌려 아아살려주세요 연줄 누가 납입 죽인데 내부 ? 내돈 만큼만 백금 팔아서 내돈만 받으면 돼그때 살아있으면 한계 사람 사는거고 죽으면 니팔 금 자고 근육 시내 입 갚을께요 갚을께요 한달만 경종 시간을 주세요. 일단 이자 내부 백금 부터 받자. 내부 야 이새끼 틈 금니 뽑아 아악!!! 방향 후각 아 너 운좋은줄알아 지난번에 아들 한놈은 금니없어서 배가르고 길미 사내 콩팥으로 받았어. 제한 아 살려주세요 일주일 준다 끝 그때 돈 안갚으면 니놈 내부 눈알 두개 식육 서로 덜렁거리면서 금 응어리 판매 복 인사시켜주마
3452,갈취 대화,돈 등 좀 많아보이네? 파트너 그치? 그러게 아저씨 비싼 옷 사용료 면모 만 빼입었는데? 사람 왜 왜들 이래요. 저 적 바쁩니다. 땅 오 바쁘시다고? 그럼 평야 빨리 재물 잡 보내줘야지. 언어 통행료나 좀 받읍시나? 여기 원피스 길이 춘추 하나 밖에 없어서 말이야. 피리 한 간선도로 . 15만원 정도면 될 것 같은데. 뭐 귀 뭐 제한 요? 고속도로 취기 인 도 형체 들판 운수 구설 아니고. 15만원 얘기 이나 받는 상대자 경주마 게 말이나 적 되요? 싫으면 말고 정한 돌아가쇼 그럼. 어차피 길 여기 밖에 녀석 없는데. 돌아갈 한도 수는 있나? 저짝에 있는 내 차로 박으면 들판 적 아저씨 정 얘기 차가 움직이지도 않을텐데. 헉.! 아 알았소. 주면 되잖소 주면. 이거 받고 좀. 그 적 그만하시오. 진작 그렇게 나올 것이지.
3453,협박 대화,오빠 근데 왜 헤어지는거야?? 이제 별로 널 안 사랑해. 그리고 나도 이제 지칠만큼 지쳤어. 대체 어느부분이 지쳤다는건데. 내가 사과했잖아.사과 우리 다시 사귀면 넌 잠깐은 바뀌겠지만 다시 돌아올거야. 싫어. 못 헤어져. 나 헤어지면 죽어버릴거야. 왜 그래. 너 애 아니잖아. 싫다고 내가 바뀐다는데 오빠가 먼데 날 판단해. 나 진짜 헤어지면 가방속 있는 칼로 내 손목 그을거. 왜 그래. 그러지마. 그냥 좋게 끝내자. 싫다고 나 진짜 죽는꼴 보고 싶어? 헤어지면 죽을거라고 그러니까 오빠도 나랑 헤어질 생각하지마 헤어지면 확 손목 그어서 죽을거니까
3454,직장 내 괴롭힘 대화,최대리 이리 좀 와봐.네 부장님. 내가 직장생활 20여년만에 이런걸 첨봐서 그래. 아 네. 신청. 그건 나도봤지. 근데 무슨 남자가 육아휴직을 써? 저 저도 고 이제 아내가 복직을 해서요. 최대리 아내보다 못 벌어? 아님 승진안하고 네? 무슨 말씀이신지? 원래 돈 적게버는 이 회사 관두는 거아닌가 저 관두겠다는 아닌데요 휴직신청 올린겁니다. 그러니까 을 왜 쓰냐는거야! 사규에 있다고 다 그리 써도 되나?
3455,갈취 대화,나 이도립스틱 줘 선물받은거라 안돼 너 립스틱 많잖아 이거 하나만 진짜 얘는 줘 안돼것쪼잔하게 이럴거야? 그냥 좀 줘라 선물받은거라 안돼. 야 씨 이게 는 이 못줘? 너가 사서 쓰면 되잖아 내가 돈이 없어보여? 그 뜻이야 너? 아니 얘뭐라고 안된다고
3456,갈취 대화,너 순식간 성기 사진 보내줘. 흥분될거같아 티끌 경 집안 오빠. 가운데 그건 괴로움 좀 그래 부끄럽기도 생식기 하고 걱정도 수입 되고. 너 가운데 예전에는 잘 보내줬으면서 취기 이제와서 왜 읍 내빼. 당장 보내 잇속 . 안 그러면 큰 일 당할줄 알아 물 전하 . 오빠.왜 그래. 이러지마.진정해. 아 얼른 보내라고. 아니면 나 그동안 골육 계획 너가 부지 보낸 그런 사진들 국부 신상공 위치 개해서 통로 다 뿌린다? 이득 아.안 돼. 잡 언어 그것만은 국부 제발 수고 가랑이 이러지마. 그러니까 얼른 보내라고. 너 반제 아래 학교동기랑 평야 가족들이 이 몸가짐 사진 보면 퍽이나 이목구비 흙먼지 좋아하겠다. 오빠 송곳니 축수 . 알았어.알았어 말 중편 들을게 하천 . 그니까 멈춰. 그럼 내 우환 가 지정하는대로 자세 취하고 사진 찍어서 보내. 아니면 너 도로 인생 강아지 끝날줄 종족 알아. 원하는 일단 대로 할게. 제발 뿌리지만 잡 말아줘
3457,갈취 대화,야 너 돈 왜 안져오냐? 진짜 이제 없어서 그래 그럼 이 사진 뿌려? 값이라는데 안구해오는거 보면 유출 상관 없나봐? 왜그래 진짜 지워줘 그러니까 50만원 가져오라고요 그럼 해결 되는데 멍청한건가? 며칠 전에도 똑같이 50만원 가져 갔잖아 진짜 없어 야 그냥 뿌린다미안해내일까지 구해올게 그래 그렇게 착하게 굴어야지 기대할게? 응.
3458,기타 괴롭힘 대화,민재야보고싶단밥 잘 겁니다? 누나가 오늘 만나자고 했는데 싫다 그래서 내아 집 앞집 기다리고 그 네? 제가 하지 지금라고 했잖아요. 그리고 제 집은 아파 . 그날 팀플 끝나고 너 에서 간다길래 나도 것 방향 그냥 에서 걸어가다가.봤어..?몰래 따라가고 그런건 아니야! 무슨 소리세요. 저번에 누나 집에서 다같이 팀플할 때 저랑 완전 반대 방향이었는데요. 아 그냥 넘겨. 어디야 언제 와. 누나 말 4시부터 6시간 째 기다리고 . 다리어떻게 빨리 집 문 열어줘. 저 무서워서 안 갈먹었어. 왜 제 허락이라서없이 개인정보를 캐내요. 빨리와 오늘 말이야 야 누나가 그럼 민재뒤얼굴만 보고 갈게 아 아니에요 저 알바해야해서 오늘 집 늦게 들어가요. 그니까 그냥 집에 가세요.있어 알바야? 원래 월 수 금 알바 아닌가? 가 그럼 누나가 알바 하는곳으로민재지금 갈게 조금만 기다려. 저에 대해 모든있어을 아시나봐요 저 알바하는 요일 친구도 잘 모르는데 진짜 소름 끼쳐요. 무서워 하지 마 나 진짜알아내셨어요너가 친 동생 같고 그래서 그래. 조금만 기다려연락바로갈게
3459,기타 괴롭힘 대화,대체 머하고님있는거에요? 네? 무엿이 고객 고객 ? 아니 내가 이걸 샀는데 환불이 왜?안돼.죄송합니다 고객님 혹시 계산하신 카드나드리겠습니다영수증 있으실까요 그런거 없어 빨리 좀 그 아 죄송합니다 고객님.죄송합니다 해봐 제품을 언제 구매하셨나요? 저번주에 샀어? 환불하는데 왜이렇게 복잡해 죄송합니다리좀 해봐 빨. 고객님 직원교육 똑바로안하네 내가 다 말할거야. 혹시 불편하십니까님 환불처리 도와
3460,갈취 대화,누나 나 돈 좀 주라 무슨 돈을 또 줘 어제도 가져가 놓고 그건 어제고 오늘 또 필요해서 그래 얘가 나한테 돈 맡겨 놨어? 왜 자꾸 돈 달래 돈 안 주면 엄마한테 누나 애인 있는 거 다 이른다 뭐라고 얘가 이제 협박까지 하네 엄마한테 걸리고 싶으면 마음대로 백년 알았어 주면 되잖아 5만원 만 줘 고마워 누나 이번이 마지막이야 이제는 못 줘
3461,직장 내 괴롭힘 대화,김 소견 대리 승진했는데 뭐 한 턱? 없나? 상수 일 아유 과장 년 님. 이득 증기 탄탄 동그라미 또 그러면 좋은데 호수 노고 원장 이사 저번 달에 제가 쿠키랑 음료수 학교 랑 우리 송곳 부서 송곳 랑 옆 사장 아카데미 부서에 수증기 돌렸잖습니까? 아니 남자 코로나 수증기 전에는 여성 더 크게 증기 돌렸어. 여러번 옛날 수익 도 돌렸고 성원 뒤 . 나도 그랬고 또 드릴 사나이 수 있으면 과거 좋은데 제가 요즘 주머니 매 사정이 신 증기 안 좋습니다. 대출금도 너무 부담스럽고. 색시 또 딸애 학원비도 최근에 남자 측 무지 동생 임 빡빡하더라구요. 김 도 대리는 김대리 상황만 보이고 딴 사람 눈치는 안중에도 없구나? 좀 하면 어때? 제가 대사 사정 번 소질 봐가면서 또 되면 하도록 하겠습니다. 과장 순리 님. 아니 김 대리는 어떻게 호수 이렇게 근로 수평 사람이 재미가 대사 서리 보필 없어? 담달에 한번 해. 내가 너 승진하는 동생 데 고과 평가 스팀 한계 좀 도움 인 줬다는 것도 알텐데. 원. 이렇게 사람이 눈치가 없네. 과장님. 압니 증기 다. 년 잘 등급 알고요. 과장님 경기 도움없이는 제가 이 수증기 자리까지 못왔죠. 그럼 영역 기대하겠다. 김 대리 코로나 대학 방역도 수증기 당 풀리는데 맛있는 거 좀 맛보게 해줘. 예. 제가 노력해보겠습니다. 과장 증기 님.
3462,갈취 대화,어이 거기 잘 어울리네 나 시비 마세요 가 이쁜 커플 내가 너무 외로워 에 가려고하는데 돈 없네 나 어쩌라고요가 나도 여자친구 좀 사귀어 보자 나 알아서 하세요가 깔끔하게 십만원으로 퉁치자 그럼 조용히 갈게 나 가 몸 대화 하기 싫어 여자친구 겁에 질렸잖아 주고 얼른 가라고 나 하. 알겠습니다
3463,협박 대화,무릎 꿇고 손 들어. 알겠습니다. 요즈음부터 제대로 대답하지 않으면 인질을 한 명씩 죽이겠다. 말 할수 없습니다. 뭐? 인질 죽는 꼴 보고 싶어? 인질 먼저 풀어주면 말해드리겠습니다. 무슨 수작이야. 안 돼. 그렇다면 말 할수 없습니다. 그렇게 나오면 인질을 죽일 수 밖에 없군. 죄송합니다. 말하겠습니다.
3464,직장 내 괴롭힘 대화,어이 너희들 용모가 왜이리 단정하지 못하냐 중대장님 왜그러 십니까 전역이 코앞입니다 어쭈 말대답을해? 야 이발병 이남아들 머리 다 밀어버려 길면 너 책임이야 이제! 옙.! 실시 하겠습니다 어디 이발병 짬찌 남아가 병장 머리에 손을대냐 죄송합니다 하지만 중대장님이 건들기만해 뒤지고 싶으면 이발병 다 머리는 깎았나? 아 그게. 죄송합니다 너 징계야 임마
3465,협박 대화,저 왜누구세요이러세요? 그건 몰라도 되고 우리가 돈이 좀 필요해서. 네? 몸 ? 콩팥 하나 이러지 기부한다 생각해. 저기요 뭔가 오해가 있으신 것 같은데. 조용히 해.한테메스 말고 사시미에 찔려죽고 싶어? 죄 죄송합니다. 정도 마세요. 아까 약 먹여서 재웠는데. 그냥 패서 기절시킬걸. .너무 아파요. 죄송합니다. 제가 뭘 하면 되나요 건강한데그냥 닥치고 있어. 어차피 내일이면 될깃덩어리가 몸인데싫으면 제발 저 정말고열심히 살았어요. 우리도 열심히 할 일 하고 있는야거니까 또 맞기 . 닥쳐.
3466,갈취 대화,멈춰봐 네? 너 들고 있는 가방 이쁘다 왜 그러세요 아니 너무 이뻐서 내줘 좀 빌릴게네저 그게 중요해? 거이아빠가 생일 선물로 사준거란말이에요 생일 선물 챙기다가 골로 가면 내년 생일은모르시잖아요없을후도 있어 그냥 가
3467,갈취 대화,어이 거기 떡볶이집들 이번 달 7만원 올랐으니까 알아.네? 사장님 한 마디 상의도 없이 그렇게 올려버리시면 어떡해요 안그래도 장사 안 돼서 살기 힘든데. 살기 힘들면 다른 일을 하시던가. 맨날 그렇게 놀고 먹으려 하면 안되지.저희 진짜 열심히 돈 벌고 아끼고 아껴서 . 된다면 달부터 안될까요 달라 빨리 줘야지. 내가 갑이고 가 이야 몰라? 왜 협상하려고 들지? 그게 저희도 이번달 돈을 어떻게 쓸지 다 계획 해둔게 있는데 갑자기 당황스러워서 그렇죠. 그니까 조금 조금 아끼면 7만원 더 못내? 여기서 장사하면서 돈 많이 벌잖아. 원래 받아야 할 금액만큼 안 받다가 이제 뭐 문제야? 진짜 다음달부터 허락해주시면 꼬박꼬박 7만원 씩 내도록 하겠습니다. 아 됐고 7만원 안 낼거면 이 자리에서 나가. 당신들말고 이 자리 들어 올 사람 많아. 아니 면 줘야지 왜 안주는건데? 네. 이번 부터 드리도록 할게요.
3468,직장 내 괴롭힘 대화,김대리 이리 늑대 서리 좀 대신 와봐 지배인 예 가운데 . 우두머리 사장님 아드님 너 원장 요새 일이 많지? 그래서 이 이득 따위로 보고서 써오는거지? 나한테 항의하는거야? 아닙니다. 사장님 아닌긴 전세 뭐가 아니야. 한번 엿먹으 기왕 라고 이렇게 시위 법 하는거 야냐? 납입 이 자식아 스팀 죄송합니다 죄송하긴 뭐가 죄송해. 선생 일 많이시킨 연기 놈 남아 내가 죽일 증기 반제 놈 순이익 이지. 동종 안그래? 죄송합니다 틈새 너같은 가업 새끼 대 는 필요없어. 나갈 준비하세요. 김대리님 이 왕년 자식아. 사장님.
3469,직장 내 괴롭힘 대화,저 박스좀 옮겨줘요 네 다하시면 지하창고에 있는 물건 정리라시구요 아침에했는데요 아.그거 위치바꿔야겠어요 굳이 정리방식이 맘에 안들어요 깔끔하던데요 내눈엔 지저분해요 네.다시할게요
3470,직장 내 괴롭힘 대화,이대리 여자친구 있댔지 네. 맞습니다. 몇살이? 저보다 2살 아래입니다. 어려서 좋겠네. 언제 만났어? 대학교 같은 과였어요. 헤어진 적 없어? 네 아직 없습니다. 그 랑 결혼할거야? 고민중입니다. 재밌네. 여자친구 얘기 좀 더 해봐.
3471,기타 괴롭힘 대화,아 진짜그래도짜증나 왜? 너 생긴거 왜 ? 생겼냐? 보다야 니는 뭐 잘났냐? 너지는 낫지 니는 발에 껌 눌러붙은애 처럼 생겼어 말 다했냐? 니는 성형해도 일반인 발가락 떼만도 못하게 생김주제너도 잘생긴거 아니거든그렇게 키180도 안되는 만 나는 키에 아쉬운데 너는붙어서얼굴도 생기고못 키도 작고 성격도 구리잖아 조용히해라
3472,기타 괴롭힘 대화,너는 했으면때왜 마다다 말았어? 뭐라고? 아니 그냥 코 모양이 이상하잖아. 되게 흑인들 코 같아. 나죽을것 왜 그래? 왜 사람 외모로 그러냐고? 아 그냥 뭐라고 건 아니고 신기해서! 신기하다고도 하지 말아줄래아 아 기분 나쁘게코사람 쏘리. 아 볼 생기 웃겨 한테 같아. 너 진짜 뭐냐? ?. 웃긴데 어쩌라고?한그래도 가한테 그러면 안되는거지!
3473,갈취 대화,야 네? 돈 있는거 다 내놔봐 누구세관례 그건 알꺼없고 저 돈 없어요 뒤져서 나오면 죽는다 주머니 까봐 이거 안되요 학원비에요 그래 그거 내놔봐 학원 가봐야되요 이리 내놔 맞을래 흑흑 안되요 그돈 학원비에요
3474,직장 내 괴롭힘 대화,김선생 네 부르셨습니까 강선생님 일처리를 있습니까 어떻게 하는거야? 무슨문제라도 도대체그랬나 김최대한이 어제 최선 선생다 김선생 인상이 좋지 않다고 이번 일 저걸로고하자던데 선생 밝게 웃으며 이야기했는데. 평소도 인상이 안좋더니 거기 가서도 ?? 없던는 만난을 이했습니다 인상이 안좋으니 하는일도 뭐 그렇지 죄송합니다
3475,갈취 대화,철수야 갑자기 무슨 일이야? 아니 자아 링크 너도 알 진료소 지? 뭐를? 우리엄마 지금 일단 호수 납부 상접 병원에 입원했잖아 아 알지.괜찮으셔? 아니수술 코드 하셔야하는데 내가 경기 지금 덩이 돈이 없네. 아빠도 연락 내부 달걀 상접 재물 도 안돼 속 어그래? 안됐다 그래서 니가 좀 도와주라 나 돈좀 빌려줘 나 돈 없어 현대 당세 주 근래 아줌마 왜그래 아마추어같이 너 새끼 돈 많은거 이미 알사람 다 지출 아는데 맞고 아줌마 줄래 그냥 줄 아들딸 지식 래? 정가 내부 호수 진짜 엄마가 아프시긴 한거야? 그거 줄기 까지는 철거 니 원리 알바 아니고 돈 원가 이나 주라
3476,직장 내 괴롭힘 대화,어 양선생. 네 교장 선생님. 양선생 계약기간이 까지 아닌가? 네 맞습니다. 아이고 마음이 . 양이 열정을 보여주면 가 한번 고려를 해볼 수 있는데 어때?열요?. 그게 무슨. 만한 사람이 왜 그래 교장선생님. 왜 그러세요 아이고 싫으면 말아요. 교사 하고싶은 사람 . 생각할 시간을 좀 주세요.
3477,기타 괴롭힘 대화,사퇴하시죠. 무슨 소립니까? 의원님이 뇌물을 받으신 거 다 알고 있습니다. 나 윤석룔 정치인생 30년 호각 여운 양심에 연륜 걸릴 게 없는 사람이오! 입에 침이나 바르시고 말씀하시지요. 남자 일단 오전 어디 감히.!! 증거가 있습니다. 말 배려해 드릴 싹 때 스스로 물러나십시오. 증거가 덧 측 있다니 증상 우환 ! 어디서 생 사람 잡는 오전 소리를 합니까! 저는 분명히 기회 시기 를 드렸습니다. 내일 아침까지 발표를 하지 않으신다면 증거 자료를 인터넷에 오전 뿌리겠습니다 애인 주년 덩이 아래 다음날 . 송곳 춘추 나 꺼져! 꺼지라고!
3478,갈취 대화,야야 돈좀 있냐 아니 내가 돈이 어디있어 이게 하루 이득 대체 복 이틀 사나 후일 달걀 다음날 돈 항상 준비하라고 했지 어제도 가져갔잖아 득 어제 같은 최근 소리 심장 하고 있네 돈 마련 있어 없어? 복 수 어제도 가져가고 이제 언어 돈 없다구 벗 정말이야 용돈 덩어리 다 다썼어 한대씩 맞아야 돈이 나오지 한번 맞고 시작하자 미안해 선 이번엔 정말로 없어 과거 과거 시내 정말이야 내일 꼭 후일 가져올께 그래 길 최소한 성의라도 보여야 친구아니냐 정도 우리 친하게 지불 지내야지 내일이다 대신 최근 내일은 2배 다음날 인거 알지 알고있지 상담 재산 고마워
3479,직장 내 괴롭힘 대화,너 이거 왜냈어 가족이 아파서요 야 너만 가족있냐? 아뇨. 가족있는 사람들은휴가다 휴가그러면가족써야지 이 많이 아파요 너 승진 누락되도 되는거지? 아뇨. 그래 휴가 쓰고싶으면 써. 권고사직보낼테니까 취소할게요
3480,기타 괴롭힘 대화,근데 성형하실 생각 없으세요? 제가 왜요? 그냥요 왜 그런 말씀을 하시죠? 기분이 미소 나쁘네요. 에이 기분 나쁘라고 드린 말씀은 아니에요. 그냥 남들 보기에 좀 불편할 수도 있으니깐 예? 적당히 하세요. 기분 푸세요. 저만 그렇게 느낀 건 아니라서. 신고합니다 에이에이 왜 이렇게 과민하게 구세요. 제가 그만하라고 했잖아요.
3481,협박 대화,당신 외손녀를 지금 데리고있다. 네??? 제 외손녀를 데리고 있다고요? 그래. 내가 당신 외손녀를 데리고 있어. 무슨 소리세요 제 외손녀를 데리고있다니! 당신 외손녀를 구하고 싶으면 지금 당장 계좌에 1억을 입금해 1억이라니요 그런 큰 돈 없어요 그럼 외손녀를 살리고 싶지 않은건가? 아니요 하지만 그렇게 큰돈을 마련할수없어요 제 외손녀를 살려주세요 당장 입금하지 않으면 외손녀는 죽일 거다 안돼요 무슨말이에요 제 외손녀를 건들지 마세요
3482,갈취 대화,일루와 거 산적 배경 마침 돈없는데 잘걸렸다. 사람살려요 여기 강도가 여기는 인적이 드물어서 아무도 니 목소리 정한 못들어. 죄송해요 아낙네 동 방도 이득 살려주세요 살고 부유물 싶으면 알지 다 내놔 순이익 제가 진짜 돈 확신 식견 이 현재 없거든요. 거짓말하지 말고. 나오면 어떡할래 남동생 ? 진짜에요. 도적 저 오늘 병원 갔다오면서 요양소 자산 소신 돈을 다 써버렸어요 금일 . 재물 믿어주세요.
3483,기타 괴롭힘 대화,저기요 저요 뒤 ? 네 개가 똥 정신 쌌으면서 치우셔야죠 그냥 가시는게 영리 어딨어요! 똥은 자연 놈 이야 자연 하 원리 진짜 어이없네요 당신같은 사람때문에 다른 애견 법 적 수놈 인이 욕먹는거에요 호각 아 화나게하네 진짜 니 자식새끼가 싼 치아 백금 똥 당장 치우세요 이야기 생각이 귀 있는거야 백금 강아지 없는거야 뭐요? 호의를 귓바퀴 원리 호구로 받아들이는 사람이 왜 전언 이렇게 많은건지 송곳니 못 배운사람인가? 지금 말 이윤 다 생활 했어요?
3484,직장 내 괴롭힘 대화,새론씨 지금 창고 좀 와봐요 네. 무슨일 있으세요? 아 별건 아니고 새론씨 망좀봐줘. 나 담배 좀 피게 네? 실내 금연인데요? 그래도 금단현상 오는걸 어떻게. 망 좀 봐줘 새론씨. 네? 죄송합니다. 못해드릴 동정 같아요. 망봐주면 우리 라인에 들어와 그럼 되지. 죄송합니다. 이건 아닌거 같아요. 망만 봐주면 승진이 눈 앞에 있어 새론씨 잘 생각해. 그래도 이건 아닌 동정 같습니다. 죄송합니다.
3485,직장 내 괴롭힘 대화,야! 너 가냐?? 일병 안반우. 넵 갑니다!! 그럼 나 가는 길에 몬스터 하나만 사다주라 몬스터 말씀이십니까? 응 며.몇 개 필요하십니까.? 5개만 사와 저 그럼 길.돈은. 나 지갑 없는데?? 아.네.알겠습니다
3486,직장 내 괴롭힘 대화,식사 민지씨 백금 시일 적 수법 점심 뭐 싸왔어요? 네 간수 ? 기 향내 저 호각 제육볶음 싸왔습니다. 아 그래요? 잘 됐다 나랑 같이 먹어요. 네? 저 노트 시내 제 것만 싸왔는데요.? 걱정마 밥은 내가 개울 월 챙겨왔어 아래 제 길 육볶음만 같이 먹게요. 정말 죄송합니다. 편의점에서 통조림 적 년 사서 먹는게 어떨까요? 기법 장난해? 같이 먹자고 그게 좀 어려워? 나 통조림 별로 안 인간 좋아해. 백금 민지씨가 통조림 먹으면 되겠네. 네? 제 자두 가 벼 먹으려고 싸 풀 온 도시락인데요.? 민지 유인 씨 밥먹으면서 친해지고 이러면서 대리달고 과장달고 근간 그러는거야 알아? 그래도 지휘자 이 적 마일 방법은 아닌 것 표제 같습니다. 밑 죄송합니다 메 .
